Date,Value,Type
4/2/23,9,PM10
4/3/23,18,PM10
4/4/23,24,PM10
4/5/23,16,PM10
4/6/23,20,PM10
4/7/23,18,PM10
4/8/23,4,PM10
4/9/23,7,PM10
4/10/23,10,PM10
4/11/23,14,PM10
4/12/23,19,PM10
4/13/23,15,PM10
4/14/23,16,PM10
4/15/23,20,PM10
4/16/23,14,PM10
4/17/23,17,PM10
4/18/23,19,PM10
4/19/23,25,PM10
4/20/23,27,PM10
4/21/23,24,PM10
4/22/23,15,PM10
4/23/23,13,PM10
4/24/23,13,PM10
4/25/23,27,PM10
4/26/23,18,PM10
4/27/23,12,PM10
4/28/23,14,PM10
4/29/23,16,PM10
4/30/23,15,PM10
5/1/23,14,PM10
5/2/23,16,PM10
5/3/23,16,PM10
5/4/23,11,PM10
5/5/23,15,PM10
5/6/23,14,PM10
5/7/23,15,PM10
5/8/23,16,PM10
5/9/23,21,PM10
5/10/23,17,PM10
5/11/23,19,PM10
5/12/23,18,PM10
5/13/23,16,PM10
5/14/23,21,PM10
5/15/23,18,PM10
5/16/23,20,PM10
5/17/23,18,PM10
5/18/23,15,PM10
5/19/23,14,PM10
5/20/23,9,PM10
5/21/23,11,PM10
5/22/23,22,PM10
5/23/23,26,PM10
5/24/23,27,PM10
5/25/23,24,PM10
5/26/23,23,PM10
5/27/23,12,PM10
5/28/23,7,PM10
5/29/23,10,PM10
5/30/23,12,PM10
5/31/23,17,PM10
6/1/23,14,PM10
6/2/23,16,PM10
6/3/23,21,PM10
6/4/23,20,PM10
6/5/23,24,PM10
6/6/23,24,PM10
6/7/23,30,PM10
6/8/23,31,PM10
6/9/23,34,PM10
6/10/23,33,PM10
6/11/23,23,PM10
6/12/23,15,PM10
6/13/23,19,PM10
6/14/23,14,PM10
6/15/23,15,PM10
6/16/23,17,PM10
6/17/23,27,PM10
6/18/23,35,PM10
6/19/23,16,PM10
6/20/23,18,PM10
6/21/23,10,PM10
6/22/23,10,PM10
6/23/23,17,PM10
6/24/23,23,PM10
6/25/23,28,PM10
6/26/23,19,PM10
6/27/23,28,PM10
6/28/23,30,PM10
6/29/23,50,PM10
6/30/23,50,PM10
7/1/23,11,PM10
7/2/23,19,PM10
7/3/23,19,PM10
7/4/23,27,PM10
7/5/23,31,PM10
7/6/23,20,PM10
7/7/23,18,PM10
7/8/23,19,PM10
7/9/23,12,PM10
7/10/23,14,PM10
7/11/23,19,PM10
7/12/23,19,PM10
7/13/23,19,PM10
7/14/23,15,PM10
7/15/23,17,PM10
7/16/23,19,PM10
7/17/23,53,PM10
7/18/23,57,PM10
7/19/23,17,PM10
7/20/23,25,PM10
7/21/23,22,PM10
7/22/23,18,PM10
7/23/23,20,PM10
7/24/23,18,PM10
7/25/23,24,PM10
7/26/23,26,PM10
7/27/23,27,PM10
7/28/23,25,PM10
7/29/23,23,PM10
7/30/23,18,PM10
7/31/23,13,PM10
2/1/23,17,PM2.5
2/2/23,16,PM2.5
2/3/23,25,PM2.5
2/4/23,31,PM2.5
2/5/23,30,PM2.5
2/6/23,34,PM2.5
2/7/23,52,PM2.5
2/8/23,66,PM2.5
2/9/23,50,PM2.5
2/10/23,19,PM2.5
2/11/23,18,PM2.5
2/12/23,12,PM2.5
2/13/23,21,PM2.5
2/14/23,30,PM2.5
2/15/23,55,PM2.5
2/16/23,61,PM2.5
2/17/23,21,PM2.5
2/18/23,22,PM2.5
2/19/23,33,PM2.5
2/20/23,47,PM2.5
2/21/23,41,PM2.5
2/22/23,50,PM2.5
2/23/23,48,PM2.5
2/24/23,43,PM2.5
2/25/23,41,PM2.5
2/26/23,34,PM2.5
